DATE,DI1F17,DI1F18,DI1F19,DI1F20,DI1F21,DI1F22,DI1F23,DI1F24,DI1F25,DI1F26,DI1F27,DI1F30,DI1J17,DI1J18,DI1J19,DI1J20,DI1J21,DI1K16,DI1M16,DI1N16,DI1N17,DI1N18,DI1N19,DI1N20,DI1N21,DI1N22,DI1N23,DI1N24,DI1Q16,DI1U16,DI1V16,DI1V17,DI1V18,DI1V19,DI1V20,DI1V21,DI1X16
2016-04-05 09:55:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,1252.0,,,61.0,312.0,561.0,810.0,1063.0,1314.0,,,,,,126.0,376.0,625.0,876.0,1128.0,1379.0,
2016-04-05 10:00:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,1252.0,,,,312.0,561.0,810.0,1063.0,,,,,,,126.0,376.0,625.0,876.0,,,
2016-04-05 10:05:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,1252.0,,,,312.0,561.0,810.0,1063.0,1314.0,,,,,,126.0,376.0,625.0,876.0,1128.0,1379.0,
2016-04-05 10:10:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,,498.0,748.0,1002.0,1252.0,,,,312.0,561.0,810.0,1063.0,1314.0,,,,,,126.0,376.0,625.0,876.0,1128.0,1379.0,
2016-04-05 10:15:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,1252.0,,,61.0,312.0,561.0,810.0,1063.0,1314.0,,,,,,126.0,376.0,625.0,876.0,1128.0,1379.0,
2016-04-05 10:20:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,1252.0,,,61.0,312.0,561.0,810.0,1063.0,1314.0,,,,,,126.0,376.0,625.0,876.0,1128.0,1379.0,
2016-04-05 10:25:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,1252.0,,,61.0,312.0,561.0,810.0,1063.0,1314.0,,,,,,126.0,376.0,625.0,876.0,1128.0,1379.0,
2016-04-05 10:30:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,,,,61.0,312.0,561.0,810.0,1063.0,1314.0,,,,,,126.0,376.0,625.0,876.0,1128.0,1379.0,
2016-04-05 10:35:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,1252.0,,,61.0,312.0,561.0,810.0,1063.0,1314.0,,,,,105.0,126.0,376.0,625.0,876.0,1128.0,1379.0,
2016-04-05 10:40:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,1252.0,,,,312.0,561.0,810.0,1063.0,1314.0,,,,,,126.0,376.0,625.0,876.0,1128.0,1379.0,
